url,commit_count_new,lines_new,committer_count_new
https://github.com/Azure/azure-cli,12869,13106346,1261
https://github.com/AirenSoft/OvenMediaEngine,4245,148417,69
https://github.com/Automattic/themes,9771,3816644,174
https://github.com/analogdevicesinc/no-OS,6333,1438708,156
https://github.com/AdaCore/langkit,9782,1069256,34
https://github.com/aws/aws-sdk-cpp,5221,21676288,166
https://github.com/odoo/documentation-user,5010,7108716,466
https://github.com/wiredtiger/wiredtiger,25226,3310734,129
https://github.com/linuxdeepin/dde-control-center,1532,1976743,59
https://github.com/nginxinc/kubernetes-ingress,4658,-1500568,197
https://github.com/AdaCore/gps,45345,1380696,113
https://github.com/usdot-jpo-ode/jpo-ode,4445,794030,52
https://github.com/afni/afni,23992,2753188,113
https://github.com/openucx/ucx,17534,990840,189
https://github.com/cylc/cylc,19112,605955,75
https://github.com/aspnet/EntityFramework,16592,9578704,455
https://github.com/ECP-WarpX/WarpX,9547,646010,145
https://github.com/fedspendingtransparency/data-act-broker-backend,13069,-3965901,58
https://github.com/Microsoft/vs-streamjsonrpc,3918,167067,81
https://github.com/Microsoft/vs-threading,5561,309680,83
https://github.com/cctbx/cctbx_project,38589,2191740,164
https://github.com/Netflix/lemur,6914,258502,174
https://github.com/mcneel/developer-rhino3d-com,1125,832349,38
https://github.com/open-io/oio-sds,8060,276678,69
https://github.com/leapmotion/UnityModules,7698,3502350,81
https://github.com/OctopusDeploy/docs,13908,521614,342
https://github.com/i2p/i2p.i2p,17932,2857437,84
https://github.com/Azure/azure-powershell,39903,388840142,2019
https://github.com/SharePoint/sp-dev-fx-webparts,10176,72846142,353
https://github.com/Kitware/SMTK,11191,2218676,50
https://github.com/analogdevicesinc/scopy,4969,797445,50
https://github.com/intel/intel-device-plugins-for-kubernetes,3198,-178486,74
https://github.com/BlackArch/blackarch,24993,666236,237
https://github.com/aws/aws-sdk-php,8095,3170357,251
https://github.com/ONLYOFFICE/desktop-apps,6583,1591055,53
https://github.com/LLNL/RAJA,11672,1823561,138
https://github.com/PowerShell/PowerShell-Docs,10982,2397496,917
https://github.com/AxonFramework/AxonFramework,11482,1118146,270
https://github.com/ladybirdweb/agorainvoicing,4696,6742000,33
https://github.com/Microsoft/web-build-tools,22487,3690900,426
